編號,序號,事業單位統一編號,事業單位,行業別,災害類型,罹災人數（數量）,業主,業主統一編號,工程名稱,場所（肇災處）,縣市,地址,勞動檢查機構,年度,發生日期,是否顯示於地圖,agencyCode
165,165,46298200,建國工程股份有限公司,F營造業(建築工程業),與高溫、低溫之接觸,1,國家住宅及都市更新中心。,73644633,高雄市左營興隆段社會住宅新建統包工程,高雄市左營區介壽路與先鋒路口,2279,高雄市左營區介壽路與先鋒路口,高雄市政府勞工局勞動檢查處,2023,2023-07-09,是,09
166,166,97278895,玖群營造有限公司,F營造業(其他專門營造業),墜落、滾落,1,萬耀建設股份有限公司,90695229,萬耀建設大園區客運二段189-1地號集合式住宅新建工程,工區D2戶2樓至1樓樓梯,2268,桃園市大園區學七街與環區中路交叉口內,桃園市政府勞動檢查處,2023,2023-07-08,是,06
167,167,61837760,中鼎工程股份有限公司,M專業、科學及技術服務業(工程服務及相關技術顧問業),與高溫、低溫之接觸,1,台灣中油股份有限公司,03707901,第三座液化天然氣接收站儲槽興建統包工程,涵洞工程作業區,2268,桃園市觀音區桃科二路底,勞動部職業安全衛生署北區職業安全衛生中心,2023,2023-07-07,是,01
168,168,,國品工程股份有限公司,F營造業(建築工程業),墜落、滾落,1,豐意建設股份有限公司,,豐意品森31戶住宅新建工程,外牆施工架,2273,彰化縣員林市員鹿路103巷120弄12號對面,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-07,是,02
169,169,P*****6905,蔡O,F營造業(其他專門營造業),墜落、滾落,1,普明寺,P*****2584,普明寺正殿新建工程鋼筋綁紮工程,屋簷模板,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-06,否,02
170,170,,農業部林業及自然保育署南投分署,A農、林、漁、牧業(林業),其他,1,,,112年度霧社苗圃各項造林計畫育苗作業,霧社苗圃,2274,南投縣仁愛鄉高峰段18地號,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-06,是,02
171,171,53074108,思伶科技股份有限公司,C製造業(金屬表面處理業),溺斃,1,,,,思伶科技股份有限公司污水池,2273,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-07-05,否,02
172,172,97179430,遠傳電信股份有限公司,J資訊及通訊傳播業(有線電信業),感電,1,,無,臺北文化體育園區（大巨蛋）基地臺建設、維運暨緊急搶修工程,巨蛋棟南側3樓,2266,信義區忠孝東路4段545號,臺北市勞動檢查處,2023,2023-07-05,是,04
173,173,,何OO（即福田園教育休閒農場）,R藝術、娛樂及休閒服務業(其他娛樂及休閒服務業),墜落、滾落,1,,,,臺北市士林區菁山路 131 巷 18 號對面之「你農我農 友善田園」之菜園區,2266,臺北市士林區菁山路 131 巷 18 號對面之「你農我農 友善田園」之菜園區,臺北市勞動檢查處,2023,2023-07-04,是,04
174,174,28753959,青玉案國際室內裝修有限公司,F營造業(建物完工裝修工程業),墜落、滾落,1,野美國際開發股份有限公司,72335785,何惠美等人店鋪、招待所新建工程(室內裝修工程),無障礙樓梯3樓到4樓間平台,2272,臺中市西屯區朝馬三街與朝富二街交叉口,臺中市勞動檢查處,2023,2023-07-03,是,07
175,175,,曾○○,F營造業(建物完工裝修工程業),墜落、滾落,1,何○○,,何○○住宅增建工程,本工程南側外牆第8層施工架處,2277,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-07-01,否,03
176,1,,潘○○(自然人),F營造業(其他專門營造業),墜落、滾落,1,,,,屏東縣竹田鄉○○路○○號自用住宅旁之倉庫屋頂,,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-06-30,否,03
177,2,,漢亞營造有限公司,F營造業(建築工程業),墜落、滾落,1,,,屏東大埔段三小段44戶華廈住宅新建工程,屏東縣屏東市大埔段三小段208-2地號之D棟1樓至2樓樓梯間,2280,,勞動部職業安全衛生署南區職業安全衛生中心,2023,2023-06-30,是,03
178,3,,欣展營造有限公司,F營造業(其他土木工程業),物體飛落,1,,,住宅新建統包工程,高雄市大寮區,2279,高雄市大寮區,高雄市政府勞工局勞動檢查處,2023,2023-06-30,是,09
179,4,90059001,經濟部水利署南區水資源局,O公共行政及國防；強制性社會安全(政府機關),溺斃,1,,,,阿公店水庫取水塔東北方約50公尺之湖區工作平臺,2279,高雄市燕巢區工程路1號,高雄市政府勞工局勞動檢查處,2023,2023-06-29,是,09
180,5,89755183,健大晟企業有限公司,G批發及零售業(瓷磚、貼面石材及衛浴設備批發業),物體倒塌、崩塌,1,健大晟企業有限公司,,,高雄市燕巢區安招路666-8號,2279,高雄市燕巢區安招路666-8號,高雄市政府勞工局勞動檢查處,2023,2023-06-27,是,09
181,6,93725211,成中恆營造股份有限公司,F營造業(建築工程業),墜落、滾落,1,大里市中興國宅都市更新會,17727420,大里中興國宅都市更新案新建工程(軟園尊邸大樓新建工程),臺中市大里區中山路16號對面工地,2272,,臺中市勞動檢查處,2023,2023-06-25,否,07
182,7,,金協鑫科技股份有限公司,C製造業(其他未分類製造業),感電,1,,,,,,,高雄市政府勞工局勞動檢查處,2023,2023-06-25,是,09
183,8,,東鋼鋼結構股份有限公司雲林廠,C製造業(金屬結構製造業),被撞,1,,,,東鋼鋼結構股份有限公司雲林廠B棟廠房,2275,,勞動部職業安全衛生署中區職業安全衛生中心,2023,2023-06-23,否,02
